Date,Hour,Load
1/1/2008,1,6820.83
1/1/2008,2,6719.33
1/1/2008,3,6632.42
1/1/2008,4,6688.25
1/1/2008,5,6848.83
1/1/2008,6,7090.83
1/1/2008,7,7423.58
1/1/2008,8,7529.5
1/1/2008,9,7587.25
1/1/2008,10,7200.75
1/1/2008,11,6896.42
1/1/2008,12,6644.17
1/1/2008,13,6344.17
1/1/2008,14,6058.5
1/1/2008,15,5892.92
1/1/2008,16,5981.33
1/1/2008,17,6505.5
1/1/2008,18,7880.42
1/1/2008,19,8705.83
1/1/2008,20,8926
1/1/2008,21,8961.5
1/1/2008,22,8635.5
1/1/2008,23,8094.92
1/1/2008,24,7574.17
1/2/2008,1,7387
1/2/2008,2,7502.5
1/2/2008,3,7724.17
1/2/2008,4,8036.83
1/2/2008,5,8668.58
1/2/2008,6,9863.67
1/2/2008,7,11302.83
1/2/2008,8,11201.67
1/2/2008,9,10532.25
1/2/2008,10,10094.17
1/2/2008,11,9961.25
1/2/2008,12,9725.5
1/2/2008,13,9330.17
1/2/2008,14,8605.83
1/2/2008,15,8254.25
1/2/2008,16,8463.58
1/2/2008,17,9286.67
1/2/2008,18,10995.83
1/2/2008,19,11948.17
1/2/2008,20,12124.17
1/2/2008,21,12058.17
1/2/2008,22,11635.58
1/2/2008,23,10848.17
1/2/2008,24,10251.42
1/3/2008,1,9980.5
1/3/2008,2,9995.75
1/3/2008,3,10157.67
1/3/2008,4,10382.75
1/3/2008,5,10785.08
1/3/2008,6,11733.25
1/3/2008,7,12994.33
1/3/2008,8,12738
1/3/2008,9,11620.25
1/3/2008,10,10556
1/3/2008,11,9642.92
1/3/2008,12,8863.33
1/3/2008,13,8222.5
1/3/2008,14,7737.67
1/3/2008,15,7538.08
1/3/2008,16,7712.42
1/3/2008,17,8570.92
1/3/2008,18,10421.08
1/3/2008,19,11686.42
1/3/2008,20,12059.17
1/3/2008,21,12235.5
1/3/2008,22,11926.75
1/3/2008,23,11340.25
1/3/2008,24,10932.75
1/4/2008,1,10725.17
1/4/2008,2,10968.25
1/4/2008,3,11506.25
1/4/2008,4,11767.5
1/4/2008,5,12258.08
1/4/2008,6,13193.92
1/4/2008,7,14287.83
1/4/2008,8,13971.25
1/4/2008,9,12637.67
1/4/2008,10,10838.5
1/4/2008,11,9497.25
1/4/2008,12,8442.17
1/4/2008,13,7645.33
1/4/2008,14,7036.83
1/4/2008,15,6663
1/4/2008,16,6682.25
1/4/2008,17,7366.33
1/4/2008,18,8880.25
1/4/2008,19,9941.5
1/4/2008,20,10110.17
1/4/2008,21,10068.17
1/4/2008,22,9839.83
1/4/2008,23,9509.67
1/4/2008,24,9065.33
