Trend,Date,Hour,Load
1,1/1/2005,1,4673
2,1/1/2005,2,4548
3,1/1/2005,3,4378
4,1/1/2005,4,4301
5,1/1/2005,5,4289
6,1/1/2005,6,4380
7,1/1/2005,7,4488
8,1/1/2005,8,4680
9,1/1/2005,9,5048
10,1/1/2005,10,5044
11,1/1/2005,11,4863
12,1/1/2005,12,4701
13,1/1/2005,13,4473
14,1/1/2005,14,4220
15,1/1/2005,15,4035
16,1/1/2005,16,3990
17,1/1/2005,17,4060
18,1/1/2005,18,4728
19,1/1/2005,19,5066
20,1/1/2005,20,5006
21,1/1/2005,21,4848
22,1/1/2005,22,4640
23,1/1/2005,23,4354
24,1/1/2005,24,3967
25,1/2/2005,1,3639
26,1/2/2005,2,3490
27,1/2/2005,3,3472
28,1/2/2005,4,3559
29,1/2/2005,5,3681
30,1/2/2005,6,3891
31,1/2/2005,7,4221
32,1/2/2005,8,4702
33,1/2/2005,9,5298
34,1/2/2005,10,5224
35,1/2/2005,11,4809
36,1/2/2005,12,4405
37,1/2/2005,13,4287
38,1/2/2005,14,4145
39,1/2/2005,15,3990
40,1/2/2005,16,3941
41,1/2/2005,17,4067
42,1/2/2005,18,4838
43,1/2/2005,19,5341
44,1/2/2005,20,5285
45,1/2/2005,21,5101
46,1/2/2005,22,4806
47,1/2/2005,23,4326
48,1/2/2005,24,3763
49,1/3/2005,1,3450
50,1/3/2005,2,3340
51,1/3/2005,3,3355
52,1/3/2005,4,3474
53,1/3/2005,5,3696
54,1/3/2005,6,4273
55,1/3/2005,7,5109
56,1/3/2005,8,5236
57,1/3/2005,9,5024
58,1/3/2005,10,4659
59,1/3/2005,11,4395
60,1/3/2005,12,4147
61,1/3/2005,13,3986
62,1/3/2005,14,3834
63,1/3/2005,15,3760
64,1/3/2005,16,3710
65,1/3/2005,17,3857
66,1/3/2005,18,4777
67,1/3/2005,19,5569
68,1/3/2005,20,5649
69,1/3/2005,21,5430
70,1/3/2005,22,5010
71,1/3/2005,23,4331
72,1/3/2005,24,3649
73,1/4/2005,1,3187
74,1/4/2005,2,2988
75,1/4/2005,3,2938
76,1/4/2005,4,2922
77,1/4/2005,5,3074
78,1/4/2005,6,3646
79,1/4/2005,7,4647
80,1/4/2005,8,4618
81,1/4/2005,9,4109
82,1/4/2005,10,3809
83,1/4/2005,11,3704
84,1/4/2005,12,3645
85,1/4/2005,13,3591
86,1/4/2005,14,3588
87,1/4/2005,15,3559
88,1/4/2005,16,3610
89,1/4/2005,17,3791
90,1/4/2005,18,4601
91,1/4/2005,19,5360
92,1/4/2005,20,5396
93,1/4/2005,21,5209
94,1/4/2005,22,4830
95,1/4/2005,23,4191
96,1/4/2005,24,3539
97,1/5/2005,1,3028
98,1/5/2005,2,2793
99,1/5/2005,3,2703
100,1/5/2005,4,2713
101,1/5/2005,5,2861
102,1/5/2005,6,3447
103,1/5/2005,7,4552
104,1/5/2005,8,4571
105,1/5/2005,9,4015
106,1/5/2005,10,3749
107,1/5/2005,11,3679
108,1/5/2005,12,3588
109,1/5/2005,13,3526
110,1/5/2005,14,3497
111,1/5/2005,15,3443
112,1/5/2005,16,3500
113,1/5/2005,17,3735
114,1/5/2005,18,4652
115,1/5/2005,19,5302
116,1/5/2005,20,5304
117,1/5/2005,21,5141
118,1/5/2005,22,4799
119,1/5/2005,23,4158
120,1/5/2005,24,3489
121,1/6/2005,1,3074
122,1/6/2005,2,2893
123,1/6/2005,3,2822
124,1/6/2005,4,2833
125,1/6/2005,5,2972
126,1/6/2005,6,3552
127,1/6/2005,7,4624
128,1/6/2005,8,4613
129,1/6/2005,9,4034
130,1/6/2005,10,3794
131,1/6/2005,11,3699
132,1/6/2005,12,3626
133,1/6/2005,13,3542
134,1/6/2005,14,3506
135,1/6/2005,15,3454
136,1/6/2005,16,3557
137,1/6/2005,17,3869
138,1/6/2005,18,4659
139,1/6/2005,19,5221
140,1/6/2005,20,5297
141,1/6/2005,21,5148
142,1/6/2005,22,4757
143,1/6/2005,23,4119
144,1/6/2005,24,3495
145,1/7/2005,1,3026
146,1/7/2005,2,2799
147,1/7/2005,3,2711
148,1/7/2005,4,2735
149,1/7/2005,5,2879
150,1/7/2005,6,3513
151,1/7/2005,7,4696
152,1/7/2005,8,4809
153,1/7/2005,9,4265
154,1/7/2005,10,3956
155,1/7/2005,11,3813
156,1/7/2005,12,3726
157,1/7/2005,13,3676
158,1/7/2005,14,3580
159,1/7/2005,15,3499
160,1/7/2005,16,3512
161,1/7/2005,17,3763
162,1/7/2005,18,4625
163,1/7/2005,19,5131
164,1/7/2005,20,5126
165,1/7/2005,21,5037
166,1/7/2005,22,4796
167,1/7/2005,23,4484
168,1/7/2005,24,4057
169,1/8/2005,1,3710
170,1/8/2005,2,3526
171,1/8/2005,3,3435
172,1/8/2005,4,3420
173,1/8/2005,5,3469
174,1/8/2005,6,3638
175,1/8/2005,7,3866
176,1/8/2005,8,4264
177,1/8/2005,9,4715
178,1/8/2005,10,4894
179,1/8/2005,11,4641
180,1/8/2005,12,4488
181,1/8/2005,13,4342
182,1/8/2005,14,4232
183,1/8/2005,15,4160
184,1/8/2005,16,4157
185,1/8/2005,17,4275
186,1/8/2005,18,4689
187,1/8/2005,19,5121
188,1/8/2005,20,5028
189,1/8/2005,21,4914
190,1/8/2005,22,4702
191,1/8/2005,23,4495
192,1/8/2005,24,4180
193,1/9/2005,1,3907
194,1/9/2005,2,3750
195,1/9/2005,3,3773
196,1/9/2005,4,3870
197,1/9/2005,5,3969
198,1/9/2005,6,4200
199,1/9/2005,7,4602
200,1/9/2005,8,5255
201,1/9/2005,9,6085
202,1/9/2005,10,6095
203,1/9/2005,11,5439
204,1/9/2005,12,4910
205,1/9/2005,13,4816
206,1/9/2005,14,4766
207,1/9/2005,15,4686
208,1/9/2005,16,4744
209,1/9/2005,17,4962
210,1/9/2005,18,5657
211,1/9/2005,19,6235
212,1/9/2005,20,6370
213,1/9/2005,21,6397
214,1/9/2005,22,6102
215,1/9/2005,23,5660
216,1/9/2005,24,5202
217,1/10/2005,1,4949
218,1/10/2005,2,4916
219,1/10/2005,3,5025
220,1/10/2005,4,5184
221,1/10/2005,5,5473
222,1/10/2005,6,6263
223,1/10/2005,7,7405
224,1/10/2005,8,6982
225,1/10/2005,9,6043
226,1/10/2005,10,5533
227,1/10/2005,11,5105
228,1/10/2005,12,4538
229,1/10/2005,13,4079
230,1/10/2005,14,3839
231,1/10/2005,15,3625
232,1/10/2005,16,3673
233,1/10/2005,17,4059
234,1/10/2005,18,5160
235,1/10/2005,19,6035
236,1/10/2005,20,6233
237,1/10/2005,21,6267
238,1/10/2005,22,5964
239,1/10/2005,23,5408
240,1/10/2005,24,4916
241,1/11/2005,1,4619
